File name, linenumber, Report info
BenchmarkTest00026,68,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00027,68,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00028,68,Statement.execute Scary5 High confidence
BenchmarkTest00029,68,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00030,68,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00052,50,Connection.prepareCall Scary5 High confidence
BenchmarkTest00053,50,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00054,50,Statement.addBatch Scary5 High confidence
BenchmarkTest00055,50,Statement.execute Scary5 High confidence
BenchmarkTest00078,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00079,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00080,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00081,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00082,54,Statement.addBatch Scary5 High confidence
BenchmarkTest00083,54,Statement.executeQuery Scary5 High confidence
BenchmarkTest00112,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00113,54,Statement.addBatch Scary5 High confidence
BenchmarkTest00114,54,Statement.execute Scary5 High confidence
BenchmarkTest00115,54,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00116,54,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00151,50,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00152,50,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00153,50,Statement.addBatch Scary5 High confidence
BenchmarkTest00154,50,Statement.execute Scary5 High confidence
BenchmarkTest00155,50,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00156,50,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00157,50,Statement.executeUpdate Scary5 High confidence
BenchmarkTest00187,55,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00188,55,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00189,55,Statement.executeQuery Scary5 High confidence
BenchmarkTest00216,54,Connection.prepareStatement Scary5 High confidence
BenchmarkTest00217,54,Statement.executeUpdate Scary5 High confidence
